model_name,rank,params,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,accuracy_mean,accuracy_std
gnb,1,{'var_smoothing': 0.533669923120631},0.6387417354214364,0.017977185121284267,0.7612040133779264,0.017132104983097966,0.5503182556031536,0.01895368878711318,0.7713915344499063,0.013087777378737031
gnb,2,{'var_smoothing': 0.657933224657568},0.6347546123967895,0.025840501419347822,0.7324414715719063,0.026078379517883533,0.5601442761396653,0.025780343776257462,0.7761844346975024,0.017161231904484115
gnb,3,{'var_smoothing': 0.8111308307896871},0.6335587559571485,0.030136250834247997,0.6956521739130435,0.03057961057033432,0.5818793421319002,0.03182785764398829,0.7863018340396627,0.01899058377585881
sgdc,1,"{'alpha': 0.01, 'class_weight': 'balanced', 'loss': 'modified_huber', 'penalty': 'l2'}",0.6372054677893152,0.018390999250358104,0.8053511705685619,0.023016254895097312,0.5274570332813655,0.020334391447128054,0.756478555589353,0.015115853514093964
sgdc,2,"{'alpha': 0.01, 'class_weight': 'balanced', 'loss': 'log_loss', 'penalty': 'l2'}",0.6342576010605134,0.018672471733981018,0.797324414715719,0.022840630205971723,0.526621974520984,0.016730287107916228,0.7559483751798657,0.013215374197695523
sgdc,3,"{'alpha': 0.01, 'class_weight': 'balanced', 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.6339266735570123,0.021865014549862564,0.8214046822742475,0.013966965229311762,0.5169099575884987,0.029328885518829676,0.7474278212327483,0.02464285641174138
lr,1,"{'C': 4.281332398719396, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6363303374402336,0.018792745073664296,0.8066889632107024,0.03016714992315632,0.5255362219660494,0.015271840186382989,0.7554169339370624,0.012019685855825314
lr,2,"{'C': 0.012742749857031334, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6363182412856689,0.017758985665144042,0.7993311036789298,0.025558492541194366,0.528676996918239,0.015959630549479957,0.7575463238040602,0.012349881665202867
lr,3,"{'C': 0.004832930238571752, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}",0.6362776341277993,0.017869409465560163,0.8066889632107024,0.02262412645523445,0.5253665700252798,0.01583639574415939,0.7552386836269762,0.012642950357287203
knn,1,"{'metric': 'euclidean', 'n_neighbors': 35, 'p': 3.0, 'weights': 'uniform'}",0.6019448340493813,0.01843584374031776,0.565886287625418,0.020660127373218082,0.6436140191844274,0.025742543900718336,0.8013858134187337,0.010419534750008529
knn,2,"{'metric': 'minkowski', 'n_neighbors': 35, 'p': 2.0, 'weights': 'uniform'}",0.6019448340493813,0.01843584374031776,0.565886287625418,0.020660127373218082,0.6436140191844274,0.025742543900718336,0.8013858134187337,0.010419534750008529
knn,3,"{'metric': 'euclidean', 'n_neighbors': 35, 'p': 2.0, 'weights': 'uniform'}",0.6019448340493813,0.01843584374031776,0.565886287625418,0.020660127373218082,0.6436140191844274,0.025742543900718336,0.8013858134187337,0.010419534750008529
xgb,1,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",0.5970130119339299,0.02296135965883065,0.5391304347826087,0.02406167993124406,0.6696209595744479,0.030853904799496894,0.8068895084483714,0.011383711487954659
xgb,2,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.5931613088756087,0.02672521200078832,0.5331103678929766,0.027869788168561397,0.6694129601036192,0.03493402511588849,0.8060025122103827,0.012784553639519898
xgb,3,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.5928068470073729,0.021310558233167062,0.5284280936454848,0.023171248261790983,0.6758279016018953,0.02802046412913138,0.8074211072953392,0.010207221980492157
rfc,1,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",0.6375794318635523,0.022343401068502248,0.7264214046822742,0.03203727094268374,0.5684092764855186,0.019782953798092737,0.7809757589034533,0.012740563975877224
rfc,2,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 300}",0.6345691123922388,0.017923212255394876,0.7250836120401338,0.028489015971969043,0.5645219308156242,0.016976280554403464,0.7784904988329411,0.010573397589339166
rfc,3,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 200}",0.6338472519822737,0.01864201648321252,0.725752508361204,0.03013747244433127,0.563051420908596,0.017896897455142922,0.7776031873866235,0.011122011389040823
svc,1,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6252425668105279,0.015991847215023253,0.7946488294314381,0.032604836406565744,0.5156093747172135,0.011024516028226685,0.7474281364410773,0.008869761205465752
svc,2,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.6239139275387331,0.016452754996918582,0.7892976588628763,0.034692448106728946,0.5163650137842299,0.015780032553650073,0.7476071747719862,0.012044231312427796
svc,3,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'sigmoid'}",0.6237080524213495,0.013626091752001027,0.8214046822742475,0.03055033377035245,0.5029667917599789,0.01056452610427163,0.7371334324138181,0.0090591120049985
