model_name,rank,params,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,accuracy_mean,accuracy_std
gnb,1,{'var_smoothing': 0.15199110829529336},0.7809892274576413,0.00756262215201611,0.8763001711558569,0.014187035763382849,0.7045031062862475,0.008151493917264517,0.7542876950245924,0.00834153018673663
gnb,2,{'var_smoothing': 0.0533669923120631},0.7806960682147637,0.005542342531853858,0.8485156756567303,0.012523749682699009,0.723082654586903,0.008361806096579525,0.7616575448428857,0.0063464467478769005
gnb,3,{'var_smoothing': 0.1873817422860384},0.7806761573468283,0.008214886175637839,0.8811319652547768,0.014654990619900493,0.7009115749805138,0.008875853755393388,0.7524756629741524,0.00926927777932042
sgdc,1,"{'alpha': 0.01, 'class_weight': 'balanced', 'loss': 'log_loss', 'penalty': 'l1'}",0.7793953649866486,0.002846443768507467,0.8139661426844015,0.010939446271315767,0.7478146643309709,0.007101270298517678,0.7696301647766247,0.002937123287234342
sgdc,2,"{'alpha': 0.01, 'class_weight': None, 'loss': 'log_loss', 'penalty': 'l1'}",0.7793953649866486,0.002846443768507467,0.8139661426844015,0.010939446271315767,0.7478146643309709,0.007101270298517678,0.7696301647766247,0.002937123287234342
sgdc,3,"{'alpha': 0.01, 'class_weight': 'balanced', 'loss': 'log_loss', 'penalty': 'l2'}",0.7789938945769908,0.006821178568481605,0.8040633451915719,0.02226564263003936,0.7559520283459009,0.007696752134616406,0.7720467183326766,0.0032084126558745373
lr,1,"{'C': 0.615848211066026, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.781690116843351,0.003951222687400935,0.8069586830929557,0.01580365039454636,0.7582683030253322,0.007508243529456853,0.7747040150619553,0.0017514358109556219
lr,2,"{'C': 0.615848211066026, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.781690116843351,0.003951222687400935,0.8069586830929557,0.01580365039454636,0.7582683030253322,0.007508243529456853,0.7747040150619553,0.0017514358109556219
lr,3,"{'C': 0.23357214690901212, 'class_weight': None, 'max_iter': 500, 'penalty': 'l2', 'solver': 'liblinear'}",0.781434179855218,0.004310986917757483,0.8057506615495156,0.016041788507304557,0.758865555477769,0.007938337841783528,0.7747039420873651,0.0025692735195330316
knn,1,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 3.0, 'weights': 'distance'}",0.8574101060311403,0.007450040635852628,0.9656934732955973,0.0032829496175490885,0.7710250841880049,0.01112361569116897,0.8393350555336632,0.00953340541182739
knn,2,"{'metric': 'minkowski', 'n_neighbors': 10, 'p': 2.0, 'weights': 'distance'}",0.857207758211082,0.006683145984720382,0.9656937653704386,0.004001951728852254,0.7706716785889297,0.009204760768568677,0.8390927798940409,0.00839350644199798
knn,3,"{'metric': 'euclidean', 'n_neighbors': 10, 'p': 2.0, 'weights': 'distance'}",0.857207758211082,0.006683145984720382,0.9656937653704386,0.004001951728852254,0.7706716785889297,0.009204760768568677,0.8390927798940409,0.00839350644199798
xgb,1,"{'colsample_bytree': 0.7, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.8720033293570706,0.004705018117656191,0.9241373569563465,0.005619820255676382,0.8254801200403682,0.0071247229029843375,0.8643400178058,0.005266970165556278
xgb,2,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.8711657048587085,0.0038115861764102324,0.9229281671135412,0.007343069587099393,0.8250097444944557,0.008704734883108778,0.8634939504064685,0.004683128802332035
xgb,3,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.7}",0.8711627562776627,0.008366008590101977,0.9178554112705839,0.006287930898373395,0.8290302476039478,0.011122238595042319,0.8642196827064816,0.009356376251396188
rfc,1,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}",0.9021673557948837,0.0034225811297074684,0.9536141340857182,0.008378654812029158,0.8560618584812584,0.005691863913267671,0.8965939839747801,0.003554455308532013
rfc,2,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'n_estimators': 200}",0.9014048386379994,0.001271121639319028,0.9531304581485959,0.007907417129538574,0.8551005112073907,0.006292450109502955,0.8957480625246289,0.0015359537297218837
rfc,3,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 25, 'n_estimators': 100}",0.901202144014236,0.003284069017360662,0.9521648587233992,0.00881818498862378,0.8554897130859066,0.004848901969751857,0.895627289577769,0.0032168998068450674
svc,1,"{'C': 100, 'class_weight': None, 'gamma': 1, 'kernel': 'rbf'}",0.8915389922024491,0.005911458093051307,0.9176144495265468,0.011355385392696869,0.8670443403377668,0.008765691364373957,0.8883789424522381,0.005992996119047821
svc,2,"{'C': 100, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.8915389922024491,0.005911458093051307,0.9176144495265468,0.011355385392696869,0.8670443403377668,0.008765691364373957,0.8883789424522381,0.005992996119047821
svc,3,"{'C': 1, 'class_weight': None, 'gamma': 1, 'kernel': 'rbf'}",0.884550342483091,0.004939423430769309,0.9079499851041831,0.00843812751121866,0.8624216610427027,0.008112461836813458,0.8814933520148285,0.005223276740111706
